output,size,acc,seconds,cpu,mem
mp4,10,TRUE,3,0.24687500000015916,5217.654101333333
mp4,30,TRUE,11,0.3097499999999399,5227.139444363636
mp4,10,TRUE,3,0.2999999999999545,5189.707093333333
mp4,30,TRUE,11,0.34924999999998363,5138.41152
mp4,10,TRUE,3,0.26312499999994543,5128.1278293333335
mp4,30,TRUE,11,0.2920000000000528,5130.108555636364
mp4,10,TRUE,3,0.2599999999998772,5125.518677333333
mp4,30,TRUE,11,0.2940000000000055,5104.444509090909
mp4,10,TRUE,3,0.2724999999999227,5112.482474666667
mp4,30,TRUE,11,0.2832499999999982,5100.525754181818
flv,10,TRUE,2,0.22187499999995453,5120.294912
flv,30,TRUE,5,0.4175000000000182,5179.3231872
flv,10,TRUE,1,0.30499999999995,5154.381824
flv,30,TRUE,5,0.3224999999998772,5135.8466048
flv,10,TRUE,2,0.3081250000000182,5104.171008
flv,30,TRUE,5,0.515625,5160.792064
flv,10,TRUE,1,0.34312500000010004,5145.296896
flv,30,TRUE,5,0.3112499999999727,5136.8861696
flv,10,TRUE,1,0.3168749999999818,5118.58688
flv,30,TRUE,5,0.2756249999998772,5120.1138688
mp4,10,FALSE,29,0.9790178571428376,5354.613089103449
mp4,30,FALSE,79,0.985448717948721,5367.226834632912
mp4,10,FALSE,29,0.9882142857142721,5361.111463724138
mp4,30,FALSE,79,0.985769230769235,5373.514764962026
mp4,10,FALSE,28,0.9879629629629866,5359.826505142856
mp4,30,FALSE,78,0.9860064935064893,5374.793885538462
mp4,10,FALSE,28,0.9867592592592397,5365.362688
mp4,30,FALSE,78,0.985844155844154,5374.170243282051
mp4,10,FALSE,28,0.9866666666666452,5363.808109714286
mp4,30,FALSE,79,0.986730769230777,5371.826331544304
flv,10,FALSE,7,0.2733333333333121,5158.813110857142
flv,30,FALSE,22,0.27095238095236174,5164.931816727273
flv,10,FALSE,8,0.2707142857142182,5159.064576
flv,30,FALSE,22,0.2714285714285628,5165.787136
flv,10,FALSE,7,0.26708333333340306,5159.205156571428
flv,30,FALSE,22,0.27333333333330123,5166.993035636364
flv,10,FALSE,7,0.2712500000000848,5160.524653714286
flv,30,FALSE,22,0.2694047619047524,5165.896610909091
flv,10,FALSE,7,0.268333333333203,5160.343259428571
flv,30,FALSE,23,0.2705681818181761,5167.372377043478
